Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,1,0,30,0,0,0,0,0,0,-1,13.20278160004051,956.1484375,36.74750017982802,177.4918824102661,1.1854105829401624,0.0,61.825679779052734,3.3804917335510254,0
2012,1,1,1,30,0,0,0,0,0,0,-1,12.759840762267345,955.7202758789062,36.31846328082432,168.083452559436,1.261884072192209,0.0,61.35719299316406,3.2738232612609863,0
2012,1,1,2,30,0,0,0,0,0,0,-2,12.351368513480509,955.6333618164062,35.97066903834834,154.46533427637348,1.336587743683099,0.0,61.482765197753906,3.0483546257019043,0
2012,1,1,3,30,0,0,0,0,0,0,-2,12.001076045866569,955.1227416992188,35.80027103124605,140.8819756961102,1.3887277779563163,0.0,61.75309753417969,2.862565755844116,0
2012,1,1,4,30,0,0,0,0,0,0,-2,11.713368790012737,955.294921875,35.6941599272597,127.41826197143892,1.4192339510199135,0.0,62.91712188720703,2.785478353500366,0
2012,1,1,5,30,0,0,0,0,0,0,11,13.2572663305599,957.3872680664062,87.35498214385014,114.0900401739274,1.6709774363171186,0.0,13.279541015625,2.757575511932373,0
2012,1,1,6,30,0,0,0,0,0,0,11,12.84140927165322,958.1532592773438,90.50434297182643,101.12395390060624,1.5888225975175851,0.0,7.5146331787109375,2.754892587661743,0
2012,1,1,7,30,2,0,2,9,19,9,11,14.128077473746771,958.6004638671875,83.18019142337192,88.60274789208319,1.5032120176296386,0.0,3.0719146728515625,2.6470654010772705,0
2012,1,1,8,30,96,306,167,89,374,175,11,17.45202314651675,959.1566772460938,67.06964782796912,76.77164159460477,1.4180283323790306,0.0,4.6590728759765625,2.2183632850646973,0
2012,1,1,9,30,155,516,365,134,583,371,11,21.966459034767922,959.5819091796875,50.67894697509836,66.0072517569767,1.3550594979641128,0.0,6.405487060546875,2.028838872909546,0
