Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed
1,1,0,0,0,0,0,0,0,9,13.458724330468158,956.1898193359375,76.24506249710181,177.49978753406924,1.33711410491144,0.0,258.8158874511719,1.567081332206726
1,1,1,0,0,0,0,0,0,8,12.828530887137674,955.7901611328125,75.24767638043915,168.0819371410936,1.2335145836047188,0.0,283.80767822265625,1.9502663612365723
1,1,2,0,0,0,0,0,0,8,12.064888490611224,955.524169921875,76.72210079043796,154.463654899596,1.1069785967811538,0.0,303.3330993652344,2.2466602325439453
1,1,3,0,0,0,0,0,0,6,11.354479071855678,955.3552856445312,73.09247568887207,140.88061591528026,0.9783584324368326,0.0,318.45465087890625,2.519935131072998
1,1,4,0,0,0,0,0,0,5,10.773699316388218,955.6781005859375,68.03195528798985,127.41737504186798,0.8574415036255418,0.0,329.9586486816406,2.680499792098999
1,1,5,0,0,0,0,0,0,2,10.793920891155494,958.4592895507812,58.240758932089896,114.08949759407959,0.6379449310886967,0.0,81.18245697021484,3.052236795425415
1,1,6,0,0,0,0,0,0,3,10.545128494436142,958.9285888671875,59.899648101003,101.12409575096991,0.6503496197197878,0.0,78.91030883789062,3.0651421546936035
1,1,7,4,0,4,11,39,12,3,12.4346410621269,959.6856079101562,53.39922062142456,88.60370793225657,0.664594778669544,0.0,77.74705505371094,3.035672664642334
1,1,8,82,467,189,82,467,189,3,16.241050186705877,960.2464599609375,42.26029581939746,76.77366818418744,0.6807744086027441,0.0,79.2661361694336,2.614975929260254
1,1,9,119,672,392,119,672,392,3,20.826268248147187,960.6163330078125,32.074710711592374,66.01059189775295,0.7015649760873071,0.0,81.69454956054688,2.2656009197235107
1,1,10,140,774,562,140,774,562,1,25.882160814039935,960.4190673828125,20.11893930268172,56.93882357851117,0.7320516417282104,0.0,100.84021759033203,2.2195241451263428
1,1,11,151,823,675,151,823,675,1,28.169690710081,959.5104370117188,17.643773083504595,50.48869063944311,0.7705431944514705,0.0,113.56172180175781,1.7910263538360596
1,1,12,155,839,720,155,839,720,1,29.315076566639277,958.518310546875,16.928069489209665,47.74136173292947,0.8107087975607815,0.0,124.8819580078125,1.4540928602218628
1,1,13,153,827,692,153,827,692,1,29.63183786980221,957.4364624023438,16.72757323757375,49.32195242153733,0.8558174426215883,0.0,130.7471160888672,1.204040765762329
1,1,14,143,784,595,143,784,595,1,29.081377803514158,957.2225341796875,17.313544450437522,54.85655092695422,0.9024140657320054,0.0,131.54261779785156,0.9843765497207642
1,1,15,125,697,438,125,697,438,1,27.581310001560837,957.3723754882812,18.955671964849866,63.31283608106615,0.9470035651359567,0.0,123.1036605834961,0.8328821063041687
1,1,16,93,527,241,93,527,241,1,24.635356161509435,957.333984375,22.761515925130556,73.68582702389978,0.9839623964200652,0.0,96.9485092163086,1.006415843963623
1,1,17,29,7,30,34,168,47,2,21.178851886937707,957.7601318359375,28.31873397407901,85.27061897016527,1.0090578227128368,0.0,79.69944763183594,1.7096952199935913
1,1,18,0,0,0,0,0,0,2,20.028110092914346,958.4030151367188,30.31923011145049,97.63065635320584,1.0226516239570402,0.0,75.68547058105469,2.3731846809387207
1,1,19,0,0,0,0,0,0,1,19.00362005186082,959.2797241210938,32.11904733807434,110.49197991146393,1.0285672413141955,0.0,75.42068481445312,2.859628438949585
1,1,20,0,0,0,0,0,0,1,17.97423143085024,959.47412109375,34.193656954428825,123.68629597655618,1.0309226300938061,0.0,74.46185302734375,3.159248113632202
1,1,21,0,0,0,0,0,0,1,17.0389755513998,959.69873046875,36.13847038253079,137.10142223533947,1.033952698597252,0.0,73.42295837402344,3.335706949234009
1,1,22,0,0,0,0,0,0,1,16.157773680777893,959.4147338867188,37.925403751160296,150.6567478381302,1.0409438581674033,0.0,72.6156005859375,3.422585964202881
1,1,23,0,0,0,0,0,0,1,15.377661681992208,959.446533203125,39.764182874717775,164.27744746808446,1.0511200087313433,0.0,72.06169128417969,3.4422149658203125
1,2,0,0,0,0,0,0,0,1,14.672258833948604,959.1279296875,41.6241714819384,177.4667194314823,1.063881284517869,0.0,72.01150512695312,3.418351173400879
1,2,1,0,0,0,0,0,0,1,14.05689429094133,959.150390625,43.558429983595936,168.10482845227773,1.0796296452715595,0.0,72.3192138671875,3.3741068840026855
1,2,2,0,0,0,0,0,0,2,13.532358335551123,959.0128173828125,45.7628177160062,154.48699545475165,1.0979425817430595,0.0,73.48113250732422,3.32948637008667
1,2,3,0,0,0,0,0,0,2,13.063757926413302,959.2202758789062,48.14819189063963,140.90310118642302,1.1175209329971745,0.0,74.76370239257812,3.292560338973999
1,2,4,0,0,0,0,0,0,2,12.654792394226945,959.4349975585938,50.68496766877308,127.43855020388364,1.1324512514251042,0.0,76.1685791015625,3.276238441467285
1,2,5,0,0,0,0,0,0,3,12.293829425205956,959.5479736328125,53.31833225212037,114.16879151593595,1.1408163813674166,0.0,78.17549896240234,3.280458450317383
1,2,6,0,0,0,0,0,0,3,11.968765842047901,960.4613037109375,55.9670800139511,101.19466994759809,1.1449567846694093,0.0,80.66659545898438,3.2598443031311035
1,2,7,3,0,3,10,34,11,3,13.530443784079523,961.2496948242188,51.71771546907949,88.66294390005261,1.1494882316021844,0.0,83.62361145019531,3.121392011642456
1,2,8,80,447,182,80,447,182,3,16.95263635959094,961.86669921875,41.94991301266563,76.81793786882231,1.1545437574993798,0.0,87.6342544555664,2.5001561641693115
1,2,9,117,653,383,117,653,383,3,21.72734518525209,962.057861328125,31.166971080317964,66.03452650495746,1.160653679446026,0.0,93.11229705810547,2.0943424701690674
1,2,10,138,755,551,138,755,551,3,26.629672261072358,961.6449584960938,21.832211028503227,56.935261109234006,1.1735153613096383,0.0,117.51683044433594,1.6157290935516357
1,2,11,150,806,664,150,806,664,3,28.795085241894697,961.0078735351562,19.865636100209823,50.450100355427345,1.1895544030574445,0.0,140.59970092773438,1.061033844947815
1,2,12,154,824,709,154,824,709,3,29.705575065762105,959.7698364257812,18.976423929559484,47.66479377714,1.2087649813585881,0.0,172.26329040527344,0.8394628167152405
1,2,13,152,813,683,152,813,683,3,29.815671418804527,958.81787109375,18.804941009679638,49.21405621258263,1.239602652954856,0.0,202.96029663085938,0.790889322757721
1,2,14,142,771,588,142,771,588,3,29.207506407941366,958.2719116210938,19.32183377657201,54.72997295823839,1.277766818238089,0.0,230.01657104492188,0.6838372349739075
1,2,15,124,686,434,124,686,434,3,27.81123742063579,958.1409301757812,20.799120241140713,63.178285693654004,1.3146017743229699,0.0,265.18829345703125,0.5918677449226379
1,2,16,93,518,240,93,518,240,3,25.16326045043718,958.1424560546875,24.257098459246247,73.54950685286067,1.346820468970202,0.0,306.4342041015625,0.4992900788784027
1,2,17,31,18,33,34,167,48,3,21.91782831375565,958.3878784179688,29.48453226043982,85.13554952922223,1.3744474532879094,0.0,15.440162658691406,0.6647566556930542
1,2,18,0,0,0,0,0,0,3,20.87554722476932,958.6024780273438,31.199269349603608,97.49808498812438,1.392357107430576,0.0,39.400970458984375,1.1620577573776245
1,2,19,0,0,0,0,0,0,3,19.951875838163744,959.453125,32.75019318560125,110.36245605065052,1.3963102775855092,0.0,52.51423263549805,1.5750516653060913
1,2,20,0,0,0,0,0,0,3,19.0122336395288,959.928955078125,34.566285572034246,123.55994168099207,1.3809717761978417,0.0,65.31076049804688,2.014155149459839
1,2,21,0,0,0,0,0,0,3,17.99715981909941,959.889892578125,36.9911621190795,136.978095794849,1.349045577380946,0.0,74.58318328857422,2.3925344944000244
1,2,22,0,0,0,0,0,0,3,16.951742195938323,959.8226928710938,40.163804967507694,150.5358924380679,1.3102846222186304,0.0,79.7610092163086,2.6251425743103027
1,2,23,0,0,0,0,0,0,3,15.937434640944275,959.541748046875,43.2621377182524,164.1568944224881,1.2690539893536215,0.0,81.54419708251953,2.7267324924468994
1,3,0,0,0,0,0,0,0,3,15.047855858525509,959.322265625,46.241341446658026,177.3292467456832,1.2281219137061472,0.0,80.55645751953125,2.766091823577881
1,3,1,0,0,0,0,0,0,3,14.278499349935203,958.9027099609375,48.895875368572504,168.19481079360713,1.190526031645037,0.0,78.60503387451172,2.7624449729919434
1,3,2,0,0,0,0,0,0,3,13.582589233335966,958.576171875,51.46991878898683,154.57923519674068,1.1540664420320883,0.0,79.58570098876953,2.627718210220337
1,3,3,0,0,0,0,0,0,3,13.002209781228942,958.3943481445312,53.70642676194134,140.99174420805525,1.1217842670321856,0.0,82.68844604492188,2.4701590538024902
1,3,4,0,0,0,0,0,0,3,12.531496616464324,958.374267578125,55.48869085158007,127.52161446960312,1.094037119702463,0.0,85.83423614501953,2.356567621231079
1,3,5,0,0,0,0,0,0,3,12.139849317049766,958.5305786132812,57.04533486622175,114.24462973801965,1.075951827799462,0.0,88.74880981445312,2.2603354454040527
1,3,6,0,0,0,0,0,0,3,11.859650448300272,959.1359252929688,58.1580753473283,101.2613224919285,1.0656956147141812,0.0,91.10104370117188,2.1870651245117188
1,3,7,3,0,3,10,33,10,3,13.758033946305432,960.135986328125,50.51445100031493,88.71771179387115,1.0584353083614828,0.0,92.703857421875,2.1073715686798096
1,3,8,80,450,183,80,450,183,3,17.493297940422963,960.7554321289062,38.533955381651516,76.85710020756288,1.0508797066491655,0.0,92.62422180175781,1.6842759847640991
1,3,9,118,657,384,118,657,384,2,22.399839174750582,961.4052734375,27.15623624166653,66.05262710736585,1.0397965796498567,0.0,96.60562133789062,1.3244956731796265
1,3,10,139,761,554,139,761,554,1,27.202864174601757,961.1344604492188,18.739337349107412,56.92510522260848,1.0291346791773706,0.0,112.07622528076172,0.7054494619369507
1,3,11,151,813,669,151,813,669,1,29.26760932880285,960.4688110351562,16.392041514916478,50.40429353314101,1.0166488865528374,0.0,173.38490295410156,0.18593725562095642
1,3,12,155,832,716,155,832,716,0,30.17364852536207,959.0911254882812,15.20991468022615,47.580838558114884,1.007730267805895,0.0,253.8405303955078,0.37922853231430054
1,3,13,153,822,691,153,822,691,0,30.316062638794392,958.1480102539062,14.669496537124427,49.09929399626936,1.0031976564683955,0.0,272.22064208984375,0.6017456650733948
1,3,14,143,782,597,143,782,597,0,29.64852669519496,957.3359375,14.814245863955803,54.59757326218363,0.9988898869022407,0.0,282.3592834472656,0.8253960013389587
1,3,15,125,698,442,125,698,442,0,28.15701728565938,957.1624145507812,15.780885838122494,63.039089913967004,1.003792232802142,0.0,291.3704528808594,0.990591824054718
1,3,16,94,532,246,94,532,246,0,25.379009838314346,957.063232421875,18.43365332589721,73.40960607861842,1.0032217033244557,0.0,304.86773681640625,0.9940941333770752
1,3,17,31,0,31,35,179,51,0,21.864121046273738,957.2012939453125,22.4731818453048,84.99778158534325,0.9966998071549412,0.0,327.9642333984375,0.9769006967544556
1,3,18,0,0,0,0,0,0,0,20.661711776419622,957.679443359375,23.793766370497735,97.36354819895892,0.9813610893652094,0.0,350.59161376953125,1.1821839809417725
1,3,19,0,0,0,0,0,0,0,19.602973463597493,957.9702758789062,24.963439702565353,110.23155952295409,0.9545505109673018,0.0,6.494590759277344,1.453278660774231
1,3,20,0,0,0,0,0,0,-1,18.532577055196498,958.0016479492188,26.42273295547205,123.43269613517475,0.9200958662530815,0.0,24.311538696289062,1.6371651887893677
1,3,21,0,0,0,0,0,0,-1,17.544287707501667,958.1995849609375,28.27021714404471,136.8542532078546,0.8802556613020756,0.0,41.40550231933594,1.8336681127548218
1,3,22,0,0,0,0,0,0,0,16.650517188520837,957.88427734375,31.04230097671477,150.41475395585817,0.8494700743819538,0.0,55.62741470336914,2.0083563327789307
1,3,23,0,0,0,0,0,0,0,15.852326491846725,958.05224609375,34.86619631582195,164.0359392618548,0.8281788657650033,0.0,67.79928588867188,2.1757636070251465
1,4,0,0,0,0,0,0,0,0,15.066455373383235,957.7406616210938,38.18510998076836,177.1877618526483,0.8174189017163784,0.0,78.92523193359375,2.332058906555176
1,4,1,0,0,0,0,0,0,1,14.332438977148172,957.6738891601562,42.065900634050784,168.2812166355709,0.8174310848042201,0.0,88.3783950805664,2.475726842880249
1,4,2,0,0,0,0,0,0,2,13.628467911609448,957.2503662109375,46.06385889839611,154.66864101301437,0.8272624439082347,0.0,96.00576782226562,2.367382287979126
1,4,3,0,0,0,0,0,0,2,13.005381898644657,957.4649047851562,49.49580678162553,141.07747096890864,0.836678865396753,0.0,104.46453094482422,2.1821045875549316
1,4,4,0,0,0,0,0,0,2,12.4526690659917,957.2448120117188,52.30518864271714,127.60148928653079,0.8481134256414956,0.0,113.85133361816406,2.0395524501800537
1,4,5,0,0,0,0,0,0,3,11.986469620132084,957.7171630859375,54.65042327359942,114.31690788476033,0.8624101910727342,0.0,124.22526550292969,1.9418716430664062
1,4,6,0,0,0,0,0,0,3,11.634812586223234,958.2994384765625,56.75487017382538,101.32396508209558,0.8784247764991466,0.0,135.43080139160156,1.8529506921768188
1,4,7,2,0,2,10,32,10,3,13.459649848532024,959.2501831054688,49.49170402949553,88.76793446139209,0.894708952020054,0.0,147.26678466796875,1.7335896492004395
1,4,8,83,444,184,81,454,184,2,17.227382002107504,959.9790649414062,36.844094547565945,76.89109881787442,0.9068569003760578,0.0,153.95033264160156,1.4986560344696045
1,4,9,118,661,386,118,661,386,2,21.938886439560292,960.7373046875,27.00051846956551,66.06485970447113,0.9188750377641525,0.0,167.53189086914062,1.4438464641571045
1,4,10,139,765,557,139,765,557,1,26.60172869607578,960.7738647460938,19.52802479815349,56.90834467630881,0.9268802141821664,0.0,197.80104064941406,1.8785743713378906
1,4,11,151,817,672,151,817,672,0,28.629939318843753,959.9874267578125,16.555128689466162,50.35128075369644,0.9281895886965086,0.0,218.30848693847656,1.9928923845291138
1,4,12,155,836,720,155,836,720,0,29.627712235754757,958.8156127929688,14.966788840438097,47.48952729454613,0.9204585202023161,0.0,227.34518432617188,1.9258207082748413
1,4,13,153,827,696,153,827,696,0,29.836621332315303,957.674560546875,14.138009161645721,48.9777201243175,0.9087233507752108,0.0,233.35072326660156,1.8237419128417969
