epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,73299.21655607877,73299.21655607877,70928.71633133561,70928.71633133561
1,72870.8775791952,72870.8775791952,70548.03931934932,70548.03931934932
2,72430.00721318493,72430.00721318493,70140.02549229452,70140.02549229452
3,71951.71487585617,71951.71487585617,69811.04069991439,69811.04069991439
4,71482.59875856164,71482.59875856164,69245.23921232877,69245.23921232877
5,70972.8880458048,70972.8880458048,68764.65109160959,68764.65109160959
6,70404.49033604452,70404.49033604452,68550.48223458904,68550.48223458904
7,69935.05894691781,69935.05894691781,67592.48556292808,67592.48556292808
8,69375.5466395548,69375.5466395548,67079.94081763699,67079.94081763699
9,68820.34057148972,68820.34057148972,66578.92495719178,66578.92495719178
10,68251.62016267123,68251.62016267123,65813.89647902397,65813.89647902397
11,67713.35233304795,67713.35233304795,65492.85589683219,65492.85589683219
12,67135.52297731164,67135.52297731164,65057.19396404109,65057.19396404109
13,66587.20578981165,66587.20578981165,64291.384385702055,64291.384385702055
14,66018.23031892124,66018.23031892124,64503.43144263699,64503.43144263699
15,65488.65791952055,65488.65791952055,64100.25226883562,64100.25226883562
16,64999.1637307363,64999.1637307363,62975.51434075343,62975.51434075343
17,64487.678189212325,64487.678189212325,62948.2395119863,62948.2395119863
18,64043.94189854452,64043.94189854452,62878.99469178082,62878.99469178082
19,63594.4766802226,63594.4766802226,62327.641598886985,62327.641598886985
20,63181.06167594178,63181.06167594178,61940.291352739725,61940.291352739725
21,62805.01095355308,62805.01095355308,61439.93160316781,61439.93160316781
22,62468.80529751712,62468.80529751712,61554.43665453767,61554.43665453767
23,62127.48394691781,62127.48394691781,61287.91956335616,61287.91956335616
24,61823.19971104452,61823.19971104452,61184.1293557363,61184.1293557363
25,61531.68392016267,61531.68392016267,61026.35841181507,61026.35841181507
26,61220.902161815065,61220.902161815065,61406.782983732875,61406.782983732875
27,60971.40716502569,60971.40716502569,60669.226391267126,60669.226391267126
28,60672.70001605308,60672.70001605308,60482.48875214041,60482.48875214041
29,60415.50194242295,60415.50194242295,60586.587671232875,60586.587671232875
