epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,109566.14221084994,109566.14221084994,76316.64963418432,76316.64963418432
1,71716.79388328923,71716.79388328923,70446.40843905666,70446.40843905666
2,63165.26083339819,63165.26083339819,62661.408750389164,62661.408750389164
3,56586.929599937735,56586.929599937735,57172.71997100716,57172.71997100716
4,50549.4775305495,50549.4775305495,50266.442851027394,50266.442851027394
5,44484.01508746498,44484.01508746498,46287.18567092154,46287.18567092154
6,43140.6845958515,43140.6845958515,45266.38669685943,45266.38669685943
7,42392.75509806974,42392.75509806974,54653.36386986302,54653.36386986302
8,42264.901682168434,42264.901682168434,44248.04367168042,44248.04367168042
9,42088.239701704544,42088.239701704544,44238.64573279888,44238.64573279888
10,41474.26882102273,41474.26882102273,48167.092009699954,48167.092009699954
11,40811.17093613792,40811.17093613792,47383.19868729569,47383.19868729569
12,40630.03663021482,40630.03663021482,42359.128487896945,42359.128487896945
13,40111.858175883404,40111.858175883404,42831.635289782454,42831.635289782454
14,39486.505876400995,39486.505876400995,42212.29597748677,42212.29597748677
15,39449.552155491125,39449.552155491125,41860.016309688275,41860.016309688275
16,39387.75980210928,39387.75980210928,44879.29476012803,44879.29476012803
17,38775.48459390567,38775.48459390567,41397.74237356982,41397.74237356982
18,38584.76956530199,38584.76956530199,42241.50222797322,42241.50222797322
19,38568.48772182441,38568.48772182441,41107.95243909558,41107.95243909558
20,38470.71930942559,38470.71930942559,42634.78182523545,42634.78182523545
21,38599.29291037515,38599.29291037515,46841.83416922867,46841.83416922867
22,38434.06074875467,38434.06074875467,43113.11994692754,43113.11994692754
23,38603.36260021015,38603.36260021015,42380.7299835091,42380.7299835091
24,38309.57046573397,38309.57046573397,47428.74101757083,47428.74101757083
25,38269.4848663216,38269.4848663216,40806.99360917069,40806.99360917069
26,38301.8345267746,38301.8345267746,42833.259256061254,42833.259256061254
27,38775.083196314605,38775.083196314605,41293.317159042264,41293.317159042264
28,38136.34886266345,38136.34886266345,40683.11192281872,40683.11192281872
29,38232.394823124225,38232.394823124225,42414.032256966064,42414.032256966064
30,38045.408378249536,38045.408378249536,42449.51917492022,42449.51917492022
31,38088.85878152242,38088.85878152242,44929.59435503094,44929.59435503094
