epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,108772.41018543742,108772.41018543742,76410.15427498444,76410.15427498444
1,72240.12800630448,72240.12800630448,69384.01419481631,69384.01419481631
2,62896.27248404421,62896.27248404421,71209.67860756538,71209.67860756538
3,56723.36686643836,56723.36686643836,55634.04815924657,55634.04815924657
4,49709.8325225716,49709.8325225716,48910.66408925514,48910.66408925514
5,44640.37239259029,44640.37239259029,46989.2501970151,46989.2501970151
6,43082.75437811333,43082.75437811333,45333.95881046661,45333.95881046661
7,41545.11045007005,41545.11045007005,45349.30378147377,45349.30378147377
8,41002.080866185395,41002.080866185395,41987.33257243345,41987.33257243345
9,40086.931268485365,40086.931268485365,44837.072361700266,44837.072361700266
10,39649.513309464506,39649.513309464506,41195.061309396406,41195.061309396406
11,39374.37917380137,39374.37917380137,41050.97720340714,41050.97720340714
12,39195.87066080324,39195.87066080324,40693.35849086434,40693.35849086434
13,39315.30325001946,39315.30325001946,41985.842503453845,41985.842503453845
14,39179.911068356945,39179.911068356945,41297.62760862586,41297.62760862586
15,39213.09562285959,39213.09562285959,41627.21386597136,41627.21386597136
16,39179.2292866594,39179.2292866594,40789.50000486457,40789.50000486457
17,39189.630613714195,39189.630613714195,40697.33390897416,40697.33390897416
18,39127.315494143055,39127.315494143055,40606.23206919365,40606.23206919365
19,38661.605016344954,38661.605016344954,41463.483087105,41463.483087105
20,39089.415560787675,39089.415560787675,45958.804417516345,45958.804417516345
21,38946.17982370797,38946.17982370797,40947.027313346436,40947.027313346436
22,39246.6305966882,39246.6305966882,40843.96012146832,40843.96012146832
23,39173.839187033,39173.839187033,40108.2064487177,40108.2064487177
24,38703.41147454857,38703.41147454857,40141.45306540901,40141.45306540901
25,38994.9943376401,38994.9943376401,40011.949740475175,40011.949740475175
26,38708.172867372356,38708.172867372356,44197.49594416446,44197.49594416446
27,38627.11432713263,38627.11432713263,39851.04839639438,39851.04839639438
28,38866.43191547322,38866.43191547322,45354.81205367567,45354.81205367567
29,38670.87540132705,38670.87540132705,40782.22887073864,40782.22887073864
30,38808.343939718245,38808.343939718245,43826.433014866125,43826.433014866125
31,38885.180003697074,38885.180003697074,40294.71000471863,40294.71000471863
32,38239.730439562576,38239.730439562576,43623.59790555923,43623.59790555923
33,38590.983620991596,38590.983620991596,39753.240573678784,39753.240573678784
34,38478.34153905277,38478.34153905277,40248.471434026695,40248.471434026695
35,37979.47106067092,37979.47106067092,45008.19524317987,45008.19524317987
36,38613.44185622276,38613.44185622276,44362.19752952794,44362.19752952794
37,38036.04402922634,38036.04402922634,41331.33521389516,41331.33521389516
38,37773.2372791485,37773.2372791485,38810.5345566917,38810.5345566917
39,37984.432990543275,37984.432990543275,39421.98363680145,39421.98363680145
40,38131.81807479764,38131.81807479764,40461.7168540337,40461.7168540337
41,38159.87773388854,38159.87773388854,42331.4317233227,42331.4317233227
42,37924.61757666563,37924.61757666563,38997.3649802012,38997.3649802012
43,38102.16797361457,38102.16797361457,39873.25442067831,39873.25442067831
44,37882.15483441002,37882.15483441002,38671.66729135858,38671.66729135858
45,38016.707381499065,38016.707381499065,39354.68925732604,39354.68925732604
46,37873.40692617528,37873.40692617528,38436.05256168275,38436.05256168275
47,37751.98009904265,37751.98009904265,41448.842582503115,41448.842582503115
48,38060.275191177614,38060.275191177614,40127.59969815341,40127.59969815341
49,37842.897133795144,37842.897133795144,39411.762909353594,39411.762909353594
50,37538.697798295456,37538.697798295456,41230.07398038605,41230.07398038605
51,37999.27745077055,37999.27745077055,42807.45518514555,42807.45518514555
52,38298.43888640255,38298.43888640255,38683.718973770236,38683.718973770236
53,38179.26405374378,38179.26405374378,39695.12029960889,39695.12029960889
54,37828.64058851572,37828.64058851572,41459.44762438707,41459.44762438707
55,38148.142974587485,38148.142974587485,41553.27327818532,41553.27327818532
56,38179.709701899126,38179.709701899126,46354.819699564134,46354.819699564134
57,37690.86009495641,37690.86009495641,38605.82895440925,38605.82895440925
58,37505.08988753113,37505.08988753113,38026.282314124765,38026.282314124765
59,37798.83623423879,37798.83623423879,39632.89879869435,39632.89879869435
60,37647.19837961161,37647.19837961161,39462.534690467386,39462.534690467386
61,37432.11388932129,37432.11388932129,38725.53892629203,38725.53892629203
62,37562.35978848848,37562.35978848848,42213.23089075148,42213.23089075148
63,36977.13523505604,36977.13523505604,39574.77367221552,39574.77367221552
64,37536.212484433374,37536.212484433374,42283.56627004203,42283.56627004203
