epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,78989.09853025114,78989.09853025114,43271.391766552515,43271.391766552515
1,78191.6973102169,78191.6973102169,39631.00310359589,39631.00310359589
2,77130.42249928653,77130.42249928653,39120.34480236872,39120.34480236872
3,76080.4171660959,76080.4171660959,37824.507669805935,37824.507669805935
4,74802.59118150685,74802.59118150685,37297.50930186929,37297.50930186929
5,73789.94782748287,73789.94782748287,34642.50091859304,34642.50091859304
6,72167.11062357305,72167.11062357305,32460.56660245434,32460.56660245434
7,70756.45082405822,70756.45082405822,30304.2006189355,30304.2006189355
8,69050.64367508562,69050.64367508562,28410.69095141267,28410.69095141267
9,67274.71179366438,67274.71179366438,26707.367767194635,26707.367767194635
10,65487.00742009132,65487.00742009132,24703.811126569635,24703.811126569635
11,63407.79389626141,63407.79389626141,23346.70527432934,23346.70527432934
12,61383.58637450057,61383.58637450057,23077.294529466326,23077.294529466326
13,59439.22513555936,59439.22513555936,23499.099190211185,23499.099190211185
14,57576.54100670662,57576.54100670662,21453.674693207762,21453.674693207762
15,55801.74470248288,55801.74470248288,20019.801191495433,20019.801191495433
16,54466.647180008564,54466.647180008564,25347.067690496577,25347.067690496577
17,53367.760630707766,53367.760630707766,22248.20225099886,22248.20225099886
18,52158.21321168664,52158.21321168664,25917.723949414954,25917.723949414954
19,51431.77982305936,51431.77982305936,27041.847959474886,27041.847959474886
20,51466.16012949486,51466.16012949486,26541.73464255137,26541.73464255137
21,50559.21617258847,50559.21617258847,28351.988058290524,28351.988058290524
22,50372.031107305935,50372.031107305935,32380.923248430365,32380.923248430365
23,49797.65171054509,49797.65171054509,27277.689925799088,27277.689925799088
24,49822.05967287386,49822.05967287386,27956.37758632991,27956.37758632991
25,49496.60942851027,49496.60942851027,24113.16361658105,24113.16361658105
26,49058.726660602166,49058.726660602166,26467.567173230593,26467.567173230593
27,48758.49263341895,48758.49263341895,25368.6434699629,25368.6434699629
28,48548.631358804225,48548.631358804225,30299.515241509704,30299.515241509704
29,48372.63415471604,48372.63415471604,34870.1849939355,34870.1849939355
30,48822.730566852166,48822.730566852166,29662.892150042808,29662.892150042808
31,48000.957405821915,48000.957405821915,27008.7533533105,27008.7533533105
32,47898.26204873002,47898.26204873002,27791.802939497717,27791.802939497717
33,47900.66750499429,47900.66750499429,26939.020173373287,26939.020173373287
